2006-12-29 [1829]  Wafer7_12212006
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	185.75	2.2333	17.986	
Minimum:	185.11	2.2223	16.370	
Maximum:	187.20	2.2383	19.460	
Std Dev:	0.51569	0.0039582	0.91086	
% Range:	0.56125	0.35821	8.5900	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	186.35	2.2298	16.430	
2:(0.00,6.00)	186.10	2.2306	16.370	
3:(-2.00,6.00)	185.89	2.2319	18.570	
4:(-4.00,4.00)	185.96	2.2316	19.230	
5:(-2.00,4.00)	185.75	2.2334	19.020	
6:(0.00,4.00)	185.55	2.2351	19.030	
7:(2.00,4.00)	185.44	2.2361	18.810	
8:(4.00,4.00)	185.26	2.2373	18.430	
9:(6.00,2.00)	185.12	2.2381	18.570	
10:(4.00,2.00)	185.13	2.2383	18.360	
11:(2.00,2.00)	185.21	2.2377	18.750	
12:(0.00,2.00)	185.43	2.2359	18.660	
13:(-2.00,2.00)	185.60	2.2344	18.940	
14:(-4.00,2.00)	185.74	2.2332	19.020	
15:(-6.00,2.00)	186.04	2.2305	19.460	
16:(-6.00,0.00)	185.97	2.2309	19.220	
17:(-4.00,0.00)	186.02	2.2312	18.450	
18:(-2.00,0.00)	185.60	2.2343	18.770	
19:(0.00,0.00)	185.38	2.2362	18.120	
20:(2.00,0.00)	185.28	2.2372	17.620	
21:(4.00,0.00)	185.11	2.2382	18.350	
22:(6.00,0.00)	185.15	2.2377	18.070	
23:(6.00,-2.00)	185.21	2.2374	17.750	
24:(4.00,-2.00)	185.16	2.2376	17.690	
25:(2.00,-2.00)	185.41	2.2359	17.810	
26:(0.00,-2.00)	185.51	2.2350	17.380	
27:(-2.00,-2.00)	185.69	2.2334	18.070	
28:(-4.00,-2.00)	185.89	2.2317	17.580	
29:(-6.00,-2.00)	186.23	2.2290	18.150	
30:(-4.00,-4.00)	186.23	2.2293	17.000	
31:(-2.00,-4.00)	186.00	2.2312	16.730	
32:(0.00,-4.00)	185.84	2.2325	16.640	
33:(2.00,-4.00)	185.74	2.2334	16.750	
34:(4.00,-4.00)	185.62	2.2343	17.000	
35:(2.00,-6.00)	186.83	2.2256	16.480	
36:(0.00,-6.00)	186.97	2.2242	16.820	
37:(-2.00,-6.00)	187.20	2.2223	17.380	

