2007-01-03 [1702]  Wafer2_Parul_thermal_oxide
Analysis Strategy:  Parul Thermal Oxide on Si

Fit Parm:	MSE	Thick.1	Thick.2	
--------------------	--------------------	--------------------	--------------------	
Average:	7.8525	16.022	2870.0	
Minimum:	6.9340	15.570	2846.8	
Maximum:	8.1430	17.290	2914.2	
Std Dev:	0.23288	0.24382	17.770	
% Range:	7.6981	5.3678	1.1756	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	6.9340	15.570	2884.2	
2:(0.00,6.00)	7.6850	17.290	2914.2	
3:(-2.00,6.00)	8.0430	15.940	2903.2	
4:(-4.00,4.00)	8.0590	16.060	2902.0	
5:(-2.00,4.00)	7.9260	16.180	2893.1	
6:(0.00,4.00)	8.0300	16.140	2881.0	
7:(2.00,4.00)	8.0200	16.120	2871.8	
8:(4.00,4.00)	8.0160	16.030	2865.2	
9:(6.00,2.00)	7.8140	15.920	2859.3	
10:(4.00,2.00)	7.6060	15.960	2859.5	
11:(2.00,2.00)	8.1080	15.980	2863.4	
12:(0.00,2.00)	7.7290	15.930	2870.8	
13:(-2.00,2.00)	8.0160	16.110	2878.8	
14:(-4.00,2.00)	8.0920	16.050	2890.4	
15:(-6.00,2.00)	7.4770	16.020	2900.9	
16:(-6.00,0.00)	8.0360	16.170	2889.4	
17:(-4.00,0.00)	7.8720	16.060	2879.0	
18:(-2.00,0.00)	7.8410	16.000	2870.4	
19:(0.00,0.00)	7.7440	15.900	2867.8	
20:(2.00,0.00)	7.4870	15.870	2857.8	
21:(4.00,0.00)	8.1430	16.030	2852.5	
22:(6.00,0.00)	7.8150	15.960	2857.5	
23:(6.00,-2.00)	7.8610	15.950	2853.3	
24:(4.00,-2.00)	8.0420	15.960	2847.8	
25:(2.00,-2.00)	7.9370	16.030	2849.1	
26:(0.00,-2.00)	7.7870	16.090	2856.7	
27:(-2.00,-2.00)	8.1190	15.860	2863.4	
28:(-4.00,-2.00)	7.7140	16.090	2872.0	
29:(-6.00,-2.00)	8.0660	16.120	2881.3	
30:(-4.00,-4.00)	7.8180	15.810	2871.6	
31:(-2.00,-4.00)	7.6580	15.890	2861.8	
32:(0.00,-4.00)	7.7040	15.840	2852.5	
33:(2.00,-4.00)	7.8280	15.940	2846.9	
34:(4.00,-4.00)	7.9640	16.010	2846.8	
35:(2.00,-6.00)	7.7560	15.900	2850.4	
36:(0.00,-6.00)	7.9530	16.030	2855.9	
37:(-2.00,-6.00)	7.8440	15.990	2866.8	

