2006-12-29 [1746]  Wafer5_12212006
Analysis Strategy:  Ta2O5 Neha Genos Index

Fit Parm:	Ta2O5 Thickness in nm	Ta2O5 Index at 550nm	MSE	
--------------------	--------------------	--------------------	--------------------	
Average:	185.37	2.2309	18.716	
Minimum:	184.65	2.2180	14.690	
Maximum:	187.09	2.2364	20.400	
Std Dev:	0.60160	0.0044690	1.3754	
% Range:	0.65868	0.41238	15.254	
--------------------	--------------------	--------------------	--------------------	
1:(2.00,6.00)	187.03	2.2193	14.690	
2:(0.00,6.00)	187.07	2.2183	15.090	
3:(-2.00,6.00)	187.09	2.2180	16.880	
4:(-4.00,4.00)	186.00	2.2263	17.480	
5:(-2.00,4.00)	185.85	2.2271	17.510	
6:(0.00,4.00)	185.77	2.2280	17.220	
7:(2.00,4.00)	185.65	2.2289	17.080	
8:(4.00,4.00)	185.46	2.2302	16.810	
9:(6.00,2.00)	184.91	2.2342	17.970	
10:(4.00,2.00)	185.01	2.2334	17.870	
11:(2.00,2.00)	185.15	2.2324	18.330	
12:(0.00,2.00)	185.32	2.2312	18.290	
13:(-2.00,2.00)	185.41	2.2306	18.460	
14:(-4.00,2.00)	185.48	2.2297	18.790	
15:(-6.00,2.00)	185.64	2.2286	19.190	
16:(-6.00,0.00)	185.42	2.2301	20.100	
17:(-4.00,0.00)	185.55	2.2297	19.340	
18:(-2.00,0.00)	185.28	2.2317	19.740	
19:(0.00,0.00)	185.20	2.2323	19.050	
20:(2.00,0.00)	185.11	2.2330	18.270	
21:(4.00,0.00)	184.80	2.2350	19.190	
22:(6.00,0.00)	184.66	2.2358	18.720	
23:(6.00,-2.00)	184.65	2.2364	19.250	
24:(4.00,-2.00)	184.75	2.2359	19.230	
25:(2.00,-2.00)	184.95	2.2342	19.770	
26:(0.00,-2.00)	185.09	2.2329	19.280	
27:(-2.00,-2.00)	185.18	2.2321	20.400	
28:(-4.00,-2.00)	185.30	2.2314	19.640	
29:(-6.00,-2.00)	185.45	2.2299	20.270	
30:(-4.00,-4.00)	185.22	2.2319	20.120	
31:(-2.00,-4.00)	185.09	2.2328	19.980	
32:(0.00,-4.00)	185.12	2.2331	19.720	
33:(2.00,-4.00)	185.02	2.2338	19.730	
34:(4.00,-4.00)	184.79	2.2358	19.860	
35:(2.00,-6.00)	184.96	2.2342	19.710	
36:(0.00,-6.00)	185.11	2.2333	19.640	
37:(-2.00,-6.00)	185.19	2.2327	19.820	

